Period Code,Cycle ID,B_2,B_3,B_4,B_5,B_9,B_10,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,timestamp,Good/Bad
1,34,0.0015,-0.0001,100,518.67,14.62,21.61,1.3,47.47,521.7,2388.09,8126.61,8.4349,stop,392,2388,100,38.81,23.3092,03/01/2020 02:45,0
1,35,0.0003,0.0002,100,518.67,14.62,21.61,1.3,47.31,521.75,2388.01,8140.17,8.443,0.03,391,2388,100,39.13,23.4164,03/01/2020 02:50,0
1,36,-0.0004,-0.0002,100,518.67,14.62,21.61,No Data,47.25,522.32,2388.04,8132.48,8.4246,0.03,392,2388,100,38.86,23.4308,03/01/2020 02:55,0
1,37,-0.0004,0,100,518.67,14.62,21.61,1.3,47.29,522.29,2388.04,8131.95,8.4142,0.03,392,2388,100,38.99,23.4352,03/01/2020 03:00,0
1,38,-0.0018,-0.0002,100,518.67,14.62,21.61,1.3,47.27,522.42,2388.08,8136.61,8.4158,0.03,392,2388,100,39.06,23.4768,03/01/2020 03:05,0
1,42,0.0005,-0.0004,100,518.67,14.62,21.61,1.3,47.49,522.23,2388.05,8130.88,8.4137,0.03,392,no response,100,39,23.375,03/01/2020 03:25,0
1,43,-0.0027,0.0005,No Data,518.67,14.62,21.61,1.3,47.32,522.74,2388.09,8127.22,8.4068,0.03,392,2388,100,38.99,23.3148,03/01/2020 03:30,0
1,44,-0.0001,0.0002,100,518.67,14.62,21.61,1.3,47.45,522.3,2388,8131.45,8.4201,,392,2388,100,39.06,23.4753,03/01/2020 03:35,0
1,45,-0.0013,0,100,518.67,14.62,21.61,1.3,47.45,521.73,2388.05,8128.31,8.4099,0.03,393,2388,100,38.79,23.3943,03/01/2020 03:40,0
1,46,0.0003,0.0001,100,518.67,14.62,21.61,1.3,47.2,522.02,2388.08,8128.71,8.3977,0.03,393,2388,100,38.93,23.3745,03/01/2020 03:45,0
1,47,0,0.0005,100,518.67,14.62,21.61,1.3,47.22,521.84,2388.05,8126.21,8.3973,0.03,392,2388,100,38.99,23.4873,03/01/2020 03:50,0
1,48,0.0019,0.0001,100,518.67,14.62,21.61,1.3,47.4,521.91,2388.06,8129.99,8.4376,0.03,392,2388,100,38.94,23.365,03/01/2020 03:55,0
1,49,-0.0014,0.0005,100,518.67,14.62,21.61,1.3,47.22,521.37,2388.04,8135.48,8.4151,0.03,392,2388,100,39.06,23.4498,03/01/2020 04:00,0
1,50,-0.0032,-0.0001,100,518.67,14.62,21.61,1.3,47.47,522.33,2388.09,8127.3,8.4116,0.03,392,2388,100,38.85,23.4106,03/01/2020 04:05,0
1,51,-0.001,0.0003,100,518.67,Bad,21.61,1.3,47.12,521.91,2388.05,8134.36,8.4504,0.03,393,2388,100,38.94,23.3651,03/01/2020 04:10,0
1,52,0.0018,-0.0001,100,518.67,14.62,21.61,1.3,47.07,522.1,2388.07,8132.82,8.4539,0.03,391,2388,100,39,23.3388,03/01/2020 04:15,0
1,53,0.0021,-0.0001,100,518.67,14.62,21.61,1.3,Bad,521.96,2388.06,8134.38,8.4418,0.03,392,2388,100,stop,23.3775,03/01/2020 04:20,0
1,54,-0.0002,0.0005,100,518.67,14.62,21.61,1.3,47.38,522.44,2388.06,8129.95,8.4189,0.03,392,2388,100,38.96,23.2348,03/01/2020 04:25,0
1,57,-0.0033,0,100,518.67,14.62,21.61,1.3,47.29,521.62,2388.08,8135.48,8.4263,0.03,392,2388,100,38.84,23.3567,03/01/2020 04:40,0
1,58,-0.0014,0.0001,100,518.67,14.62,21.61,1.3,47.26,no response,2388.04,8132.08,8.4319,0.03,390,2388,100,38.93,23.2893,03/01/2020 04:45,0
1,59,-0.0006,0.0002,100,518.67,14.62,21.61,1.3,47.26,521.32,2388.02,8128.81,8.4476,0.03,392,2388,100,38.92,23.4444,03/01/2020 04:50,0
1,60,-0.001,-0.0002,100,518.67,14.62,21.61,1.3,47.41,522.49,2388.03,8132.89,8.3878,0.03,393,2388,100,38.89,23.387,03/01/2020 04:55,0
1,62,0.0004,0.0001,100,518.67,14.62,21.61,1.3,47.28,522.19,2388.1,8132.28,8.4071,0.03,391,2388,100,39.03,23.2707,03/01/2020 05:05,0
1,63,0.0015,0.0002,100,518.67,14.62,21.61,1.3,47.51,521.56,2388.01,8130.73,8.4357,0.03,394,2388,100,38.77,23.3436,03/01/2020 05:10,0
1,64,0.0017,0.0002,100,518.67,14.62,21.61,1.3,47.45,521.82,2388.04,8128.15,8.4066,0.03,391,2388,100,38.93,23.384,03/01/2020 05:15,0
1,65,0,0.0005,100,518.67,no response,21.61,1.3,47.56,521.54,2388.13,8132.94,8.4406,0.03,392,2388,100,38.9,23.3752,03/01/2020 05:20,0
1,67,0.0016,-0.0004,100,518.67,14.62,21.61,1.3,47.39,522.64,2388.08,8134.07,8.3925,0.03,393,2388,100,38.97,23.291,03/01/2020 05:30,0
1,68,-0.0018,0,100,518.67,14.62,21.61,1.3,47.36,521.72,2388.07,8132.39,8.4242,0.03,392,2388,No Data,38.95,23.3174,03/01/2020 05:35,0
1,69,-0.0022,0.0005,100,518.67,14.62,21.61,1.3,47.41,522.22,2388.1,8129.13,8.4292,0.03,392,2388,100,39,23.3742,03/01/2020 05:40,0
1,70,-0.0005,0.0002,100,518.67,14.62,21.61,1.3,47.41,521.93,2388.12,8130.36,8.4279,0.03,392,2388,100,38.86,23.4513,03/01/2020 05:45,0
1,71,0.0016,-0.0003,100,518.67,14.62,21.61,1.3,47.3,521.72,2388.09,8134.28,8.423,0.03,391,2388,100,38.8,23.3881,03/01/2020 05:50,0
1,72,-0.0017,0.0001,100,518.67,14.62,21.61,1.3,47.27,521.97,2388.09,8133.95,8.3951,0.03,391,2388,100,38.84,23.3085,03/01/2020 05:55,0
1,74,0.0027,0.0001,100,518.67,14.62,21.61,Bad,47.58,522.25,2387.97,8132.67,8.4135,0.03,392,2388,100,38.8,23.382,03/01/2020 06:05,0
1,76,-0.0015,0.0002,100,518.67,14.62,21.61,1.3,47.44,521.58,2388.03,8136.44,8.3996,0.03,no connection,2388,100,39.02,23.4428,03/01/2020 06:15,0
1,77,no connection,0.0004,100,518.67,14.62,21.61,1.3,47.41,521.6,2388.08,8135.25,8.453,0.03,393,2388,100,38.99,23.275,03/01/2020 06:20,0
1,80,-0.0002,-0.0004,100,stop,14.62,21.61,1.3,47.64,521.52,2388.1,8134.66,8.4235,0.03,392,2388,100,38.89,23.3613,03/01/2020 06:35,0
1,81,-0.0018,-0.0004,I/O,stop,14.62,21.61,1.3,47.43,521.66,2388.05,8128.87,8.4247,0.03,392,2388,100,38.77,23.373,03/01/2020 06:40,0
1,82,-0.0012,0.0001,100,518.67,14.62,21.61,1.3,47.25,521.95,2388.03,8134.04,8.3986,0.03,Missing,2388,100,38.89,23.2713,03/01/2020 06:45,0
1,83,0.0004,0.0005,100,518.67,14.62,21.61,1.3,47.22,521.93,2388.05,no response,8.4128,0.03,391,2388,Missing,38.8,23.3274,03/01/2020 06:50,0
1,84,0.0005,0.0002,100,518.67,14.62,21.61,1.3,47.38,521.54,2388.06,8131.54,8.4139,0.03,392,2388,100,38.73,23.2653,03/01/2020 06:55,0
1,85,0.0025,0.0003,100,518.67,14.62,21.61,1.3,47.36,522.3,2388.05,8135.31,8.4499,0.03,392,2388,100,39.01,23.284,03/01/2020 07:00,0
1,86,-0.0012,0.0004,100,518.67,14.62,21.61,1.3,47.38,521.82,2388.09,8130.06,8.4173,0.03,394,2388,100,38.94,23.3945,03/01/2020 07:05,0
1,88,0.0029,0.0003,100,518.67,14.62,21.61,1.3,47.46,522.2,2388.04,8131.47,8.4586,0.03,392,2388,100,38.9,23.3086,03/01/2020 07:15,0
1,89,0.0008,-0.0001,,518.67,14.62,21.61,1.3,47.46,521.55,2388.08,8135.15,8.4489,0.03,392,2388,100,38.95,23.3288,03/01/2020 07:21,0
1,90,0.0017,-0.0001,100,518.67,14.62,21.61,1.3,47.32,521.49,start,8129.72,8.3961,0.03,391,2388,100,38.98,23.4712,03/01/2020 07:25,0
1,92,0.001,-0.0002,100,518.67,14.62,21.61,1.3,47.45,521.91,2388.05,8131.39,8.3982,0.03,392,2388,100,no response,23.3522,03/01/2020 07:36,0
1,93,0.0032,0.0002,100,518.67,14.62,21.61,1.3,47.46,521.43,2388.08,8133.15,8.421,0.03,392,2388,100,38.86,23.2477,03/01/2020 07:40,0
1,94,-0.0021,0.0002,100,518.67,14.62,21.61,1.3,47.48,521.61,2388.07,8132.4,8.4524,0.03,393,2388,100,38.85,23.3758,03/01/2020 07:45,0
1,95,0.0019,0.0003,100,518.67,14.62,21.61,1.3,47.38,521.92,2388.02,8131.63,stop,0.03,394,2388,100,38.76,23.3269,03/01/2020 07:50,0
1,96,-0.0034,0.0001,100,518.67,14.62,21.61,1.3,47.39,521.66,2388.06,8130.69,8.4311,0.03,392,2388,100,38.88,23.3255,03/01/2020 07:55,0
1,97,0.0035,-0.0003,100,518.67,14.62,21.61,1.3,47.46,521.67,2388.06,8128.74,8.4105,0.03,392,2388,100,39.01,23.2963,03/01/2020 08:00,0
1,98,0.0006,0.0004,100,518.67,14.62,21.61,1.3,47.37,522.31,2388.06,8127.89,8.4012,0.03,391,2388,100,38.96,23.2554,03/01/2020 08:05,0
1,100,-0.0021,-0.0003,100,518.67,14.62,21.61,1.3,47.64,521.55,2388.08,8132.49,8.4241,0.03,392,2388,100,38.93,23.409,03/01/2020 08:15,0
1,101,0.0012,0.0003,100,518.67,14.62,21.61,1.3,47.62,521.89,2388.08,8125.97,8.4353,0.03,391,2388,100,38.75,23.4149,03/01/2020 08:20,0
1,103,-0.0013,0.0001,100,518.67,14.62,21.61,1.3,47.57,521.41,2388.1,8124.4,8.4263,0.03,392,2388,100,38.69,23.4289,03/01/2020 08:30,0
1,104,-0.0001,0.0001,100,518.67,14.62,21.61,1.3,47.34,522.38,2388.09,8131.89,8.4021,0.03,392,2388,100,38.96,23.3393,03/01/2020 08:35,0
1,105,0.0024,0.0004,100,518.67,14.62,21.61,1.3,47.31,521.81,2388.08,no connection,8.4326,0.03,393,2388,100,38.77,23.3857,03/01/2020 08:40,0
1,106,0,0.0001,100,518.67,14.62,21.61,1.3,47.44,521.51,2388.09,8126.38,8.4664,0.03,392,2388,100,39.08,23.4148,03/01/2020 08:45,0
1,108,0.0008,0.0001,100,518.67,14.62,21.61,1.3,47.61,521.52,2388.03,8131.52,8.4133,0.03,393,2388,100,38.75,23.3032,03/01/2020 08:55,0
1,109,-0.0011,-0.0003,100,518.67,14.62,21.61,1.3,47.58,521.62,2388.11,8130.97,8.3757,0.03,394,2388,100,39.05,23.3561,03/01/2020 09:00,0
1,110,0,0.0004,100,518.67,Missing,21.61,1.3,47.55,522.01,2388.12,8127.16,8.4638,0.03,393,2388,100,39.06,23.2951,03/01/2020 09:05,0
1,111,0.0008,0.0004,100,518.67,14.62,21.61,1.3,47.62,521.53,2388.14,8132.4,8.4447,0.03,392,2388,100,38.92,23.2135,03/01/2020 09:10,0
1,113,0.0007,0.0001,100,518.67,14.62,21.61,1.3,47.46,521.75,2388.16,8129.32,8.458,0.03,393,2388,100,38.9,23.3101,03/01/2020 09:20,0
1,114,0.0003,0.0004,100,518.67,14.62,21.61,1.3,47.58,521.68,2388.15,Bad,8.429,0.03,394,2388,100,38.89,23.3754,03/01/2020 09:25,0
1,115,-0.0017,0.0005,100,518.67,14.62,21.61,1.3,47.43,521.36,2388.12,8127.6,8.4345,0.03,393,2388,100,38.93,23.3022,03/01/2020 09:30,0
1,116,-0.002,-0.0003,100,518.67,14.62,21.61,1.3,47.43,521.6,2388.05,8134.46,8.4059,0.03,394,2388,100,39.03,23.3512,03/01/2020 09:35,0
1,120,-0.0024,0.0005,100,518.67,14.62,21.61,1.3,47.6,521.34,2388.1,8125.57,8.4029,0.03,393,2388,100,38.81,23.3061,03/01/2020 09:55,0
1,121,-0.0033,0.0004,100,518.67,14.62,21.61,1.3,47.44,521.3,2388.04,8133.94,8.4263,0.03,394,2388,100,38.63,23.422,03/01/2020 10:00,0
1,122,0.0026,-0.0001,100,518.67,14.62,21.61,1.3,47.6,520.92,2388.12,8131.81,8.4256,0.03,393,2388,100,38.86,23.2793,03/01/2020 10:05,0
1,123,Bad,-0.0002,100,518.67,14.62,21.61,1.3,47.41,521.6,2388.17,8129.72,8.4396,0.03,392,2388,100,38.9,23.292,03/01/2020 10:10,0
1,124,0.0025,0.0002,100,518.67,14.62,21.61,1.3,47.55,521.4,2388.13,8133.82,8.4416,0.03,393,2388,100,38.8,23.2341,03/01/2020 10:15,0
1,125,-0.0004,0.0005,100,518.67,14.62,21.61,1.3,47.63,521.57,2388.11,8126.33,8.4079,0.03,394,2388,100,38.68,23.3039,03/01/2020 10:20,0
1,126,0.0016,0.0001,100,518.67,14.62,21.61,1.3,47.49,521.35,2388.08,8130.94,8.4378,0.03,392,2388,100,38.85,23.2289,03/01/2020 10:25,0
1,129,-0.0033,0.0003,100,518.67,14.62,21.61,1.3,47.61,522.02,2388.13,8127.33,8.4681,0.03,393,2388,100,Bad,23.2656,03/01/2020 10:40,0
1,130,-0.0007,0.0002,100,518.67,14.62,21.61,1.3,47.46,521.49,2388.07,8125.29,8.3938,0.03,394,2388,100,38.71,23.3461,03/01/2020 10:45,0
1,131,0.0002,-0.0001,100,No Data,stop,21.61,1.3,47.7,521.45,2388.13,8126.38,8.4328,0.03,391,2388,100,38.73,23.3435,03/01/2020 10:50,0
1,133,0.0032,-0.0002,100,518.67,14.62,21.61,1.3,47.57,521.23,2388.09,8130.93,8.4604,0.03,394,2388,100,38.95,23.2521,03/01/2020 11:00,0
1,134,-0.0014,0,100,518.67,14.62,21.61,1.3,47.75,521.52,2388.13,8131.3,8.4293,0.03,393,2388,100,38.68,23.2833,03/01/2020 11:05,0
1,135,-0.0017,0.0001,100,518.67,14.62,21.61,1.3,47.34,520.99,2388.12,8129.34,8.4242,0.03,392,2388,100,38.85,23.2744,03/01/2020 11:10,0
1,136,0.003,-0.0001,100,518.67,14.62,21.61,1.3,47.43,521.54,2388.11,No Data,8.4469,0.03,393,2388,100,38.76,23.1699,03/01/2020 11:15,0
1,137,-0.0011,0,100,518.67,14.62,21.61,1.3,47.89,521.63,2388.12,8128.81,8.449,0.03,394,2388,100,38.87,23.2593,03/01/2020 11:20,0
1,138,-0.0011,0.0001,100,518.67,14.62,21.61,1.3,47.4,521.57,2388.18,8129.67,8.4208,0.03,392,2388,100,39,23.3664,03/01/2020 11:25,0
1,139,-0.0014,0.0005,100,518.67,14.62,21.61,1.3,47.67,521.03,2388.15,8124.97,8.4621,0.03,394,2388,100,38.88,23.3422,03/01/2020 11:30,0
1,141,-0.0023,0.0005,100,518.67,14.62,21.61,1.3,47.49,521.06,2388.16,8120.93,8.4641,0.03,394,2388,100,39.02,23.2382,03/01/2020 11:40,0
1,144,0.0025,-0.0004,100,518.67,14.62,21.61,1.3,47.57,521.11,2388.17,8125.47,8.4601,0.03,393,2388,100,38.75,Bad,03/01/2020 11:55,0
1,145,-0.0004,-0.0001,100,518.67,14.62,Missing,1.3,Missing,521.13,2388.15,8130.91,8.4644,0.03,395,2388,100,38.67,23.149,03/01/2020 12:00,0
1,146,0.0002,-0.0003,100,518.67,14.62,21.61,1.3,47.63,521.13,2388.12,8129.19,8.4312,0.03,392,2388,100,38.69,23.3233,03/01/2020 12:05,0
1,148,0.001,-0.0004,100,518.67,14.62,21.61,1.3,47.49,521.08,2388.15,8124.48,8.4276,0.03,392,2388,100,38.77,23.2498,03/01/2020 12:15,0
1,151,-0.0019,-0.0001,100,518.67,14.62,21.61,1.3,47.58,520.94,2388.22,8127.21,8.4612,0.03,394,2388,100,38.56,23.2277,03/01/2020 12:30,0
1,152,0.0009,-0.0001,100,518.67,14.62,21.61,1.3,47.72,520.39,2388.19,8119,8.4572,0.03,395,2388,100,38.77,23.2369,03/01/2020 12:35,0
1,153,0.0011,-0.0004,100,518.67,14.62,21.61,1.3,47.74,520.69,2388.17,8124.14,8.4435,0.03,393,2388,100,38.78,23.1719,03/01/2020 12:40,0
1,154,-0.0012,0,100,518.67,14.62,21.61,1.3,47.73,520.72,2388.18,8129.24,8.4794,0.03,394,2388,100,38.82,23.2366,03/01/2020 12:45,0
1,156,-0.002,0.0003,100,518.67,14.62,21.61,1.3,47.58,520.75,2388.16,8128.48,8.4432,0.03,no response,2388,100,38.77,23.2791,03/01/2020 12:55,0
1,158,-0.0023,0.0001,100,518.67,14.62,21.61,1.3,47.68,no connection,2388.22,8126.33,8.4368,0.03,394,2388,100,38.75,23.2894,03/01/2020 13:05,0
1,159,-0.0006,0.0001,100,518.67,14.62,21.61,1.3,47.76,520.65,2388.23,8127.61,8.4403,0.03,394,2388,100,38.76,23.253,03/01/2020 13:10,0
1,163,0.0003,-0.0004,100,518.67,14.62,21.61,1.3,47.89,520.3,2388.2,8124.06,8.5129,0.03,393,2388,100,38.65,23.1419,03/01/2020 13:30,1
1,164,0.0005,-0.0002,100,518.67,14.62,21.61,1.3,47.7,I/O,2388.28,8124.63,8.4803,0.03,394,2388,100,38.62,23.1761,03/01/2020 13:35,1
1,165,0.001,0.0004,100,518.67,14.62,21.61,1.3,47.89,520.69,2388.24,8126.53,8.4922,0.03,393,2388,100,38.59,23.2129,03/01/2020 13:40,1
1,166,-0.0022,-0.0003,100,518.67,14.62,21.61,1.3,47.86,no connection,2388.22,8119.14,8.4663,0.03,395,2388,100,38.62,23.145,03/01/2020 13:45,1
1,167,0.0012,0.0003,100,518.67,14.62,21.61,1.3,47.85,520.49,stop,8122.41,8.4632,0.03,394,2388,100,38.77,23.3011,03/01/2020 13:50,1
1,168,-0.0043,0.0002,100,518.67,14.62,21.61,1.3,47.84,520.78,2388.19,8124.44,8.4925,0.03,393,2388,100,38.76,23.277,03/01/2020 13:55,1
1,169,-0.0017,0.0004,100,518.67,14.62,21.61,1.3,47.88,520.44,2388.18,8125.3,8.4767,0.03,394,2388,100,38.58,23.187,03/01/2020 14:00,1
1,172,-0.0014,-0.0003,100,518.67,14.62,21.61,1.3,48.07,520.54,2388.26,8120.08,8.4595,0.03,393,2388,100,38.65,23.1585,03/01/2020 14:15,1
1,174,-0.0001,-0.0002,100,518.67,14.62,21.61,1.3,48,520.22,start,8119.17,8.4476,0.03,393,2388,stop,38.57,23.0357,03/01/2020 14:25,1
1,175,0.0001,0.0002,100,518.67,14.62,21.61,1.3,47.86,520.38,2388.22,8125.76,8.489,0.03,394,2388,100,38.58,23.1573,03/01/2020 14:30,1
1,176,-0.002,-0.0003,100,518.67,14.62,21.61,1.3,47.84,519.8,2388.2,8123.8,8.4853,0.03,394,2388,100,38.72,23.2491,03/01/2020 14:35,1
1,178,-0.0001,0.0002,100,no response,14.62,21.61,1.3,48,520.2,2388.2,8116.56,8.477,0.03,395,2388,100,38.65,23.177,03/01/2020 14:45,1
1,179,0.0023,-0.0003,100,518.67,14.62,21.61,1.3,48.02,520.38,2388.18,8116.84,8.4947,0.03,395,2388,100,38.77,23.1888,03/01/2020 14:50,1
1,180,-0.0024,0,100,518.67,14.62,21.61,1.3,47.85,519.84,2388.28,8122.57,8.4737,0.03,395,2388,100,38.86,23.007,03/01/2020 14:55,1
1,183,0.0001,0.0001,stop,518.67,14.62,21.61,1.3,48.03,520.05,2388.23,8117.8,8.5041,0.03,396,2388,100,38.56,23.1302,03/01/2020 15:10,1
1,184,0.0004,0.0003,100,518.67,14.62,21.61,1.3,48.07,519.77,2388.28,8115.61,8.5133,0.03,395,2388,100,38.43,23.0146,03/01/2020 15:15,1
1,186,0.0027,-0.0003,100,518.67,14.62,21.61,1.3,48.12,520.08,2388.25,8123.45,8.5227,0.03,397,2388,100,38.47,23.0564,03/01/2020 15:25,1
1,187,-0.0047,0,100,518.67,14.62,21.61,1.3,48.23,519.53,2388.28,8115.67,8.5218,0.03,396,2388,100,38.42,23.0822,03/01/2020 15:30,1
1,188,-0.0067,0.0003,100,518.67,14.62,21.61,1.3,48,519.79,2388.23,8117.69,8.5207,0.03,396,2388,100,38.51,22.9588,03/01/2020 15:35,1
1,189,-0.0006,0.0002,100,518.67,14.62,21.61,1.3,48.08,519.58,2388.33,8117.51,8.5183,0.03,395,2388,100,38.48,23.1127,03/01/2020 15:40,1
1,191,0,-0.0004,100,518.67,14.62,21.61,1.3,48.15,519.57,2388.3,8114.61,8.5174,0.03,394,2388,100,38.45,23.1295,03/01/2020 15:50,1
1,192,0.0009,0,100,518.67,14.62,21.61,1.3,48.25,520.08,2388.32,8110.93,8.5113,0.03,396,2388,100,38.48,22.9649,03/01/2020 15:55,1
1,Missing,-0.0007,-0.0004,100,518.67,Missing,21.61,1.3,47.14,stop,2388.05,8128.32,8.3911,0.03,391,2388,100,38.95,23.3152,03/01/2020 05:25,0
1,Missing,-0.0037,0.0001,100,518.67,14.62,21.61,1.3,47.22,522.07,2388.02,8129.71,8.421,0.03,392,2388,100,39.03,23.422,03/01/2020 01:35,0
1,Missing,0,-0.0004,100,518.67,14.62,21.61,1.3,47.33,521.84,2388.01,8131.03,8.3784,0.03,392,2388,100,38.84,23.3769,03/01/2020 03:15,0
1,No Data,-0.0012,0.0001,100,518.67,14.62,21.61,1.3,47.15,522.42,2388.08,8134.02,8.4049,0.03,392,2388,no connection,39.09,23.3101,03/01/2020 01:40,0
1,start,0.0017,0.0005,100,518.67,14.62,21.61,1.3,47.49,521.38,2388.05,8130.4,8.4561,0.03,393,2388,100,38.94,23.3653,03/01/2020 08:25,0
1,,-0.0017,-0.0002,100,518.67,14.62,21.61,1.3,47.86,520.23,2388.26,8121.76,8.49,0.03,395,2388,100,38.66,23.1615,03/01/2020 14:05,1
2,1,-0.0018,0.0006,100,518.67,14.62,21.6,1.3,46.93,522.33,2388.06,8137.72,8.3905,0.03,391,2388,100,38.94,23.4585,03/01/2020 16:00,0
2,5,0.0005,0.0004,100,518.67,14.62,21.6,1.3,47.25,522.27,2387.94,8136.67,8.3867,0.03,390,2388,100,39.18,23.4234,03/01/2020 16:20,0
2,6,-0.001,0.0004,100,518.67,14.62,21.61,1.3,47.05,522.8,2387.99,8133.65,8.38,0.03,392,2388,100,39.15,23.427,03/01/2020 16:25,0
2,7,0.0001,-0.0002,100,518.67,14.62,21.61,1.3,47.1,522.14,2388.04,8136.33,8.3941,0.03,391,2388,100,39.1,23.4718,03/01/2020 16:30,0
2,8,0.0015,-0.0004,100,518.67,14.62,21.61,1.3,47.2,522.77,2387.96,8137.92,8.3861,0.03,391,2388,100,39.11,23.4381,03/01/2020 16:35,0
2,9,0.0017,-0.0004,100,518.67,14.62,21.6,1.3,no response,522.4,2387.98,8145.29,8.3868,0.03,390,2388,100,39.06,I/O,03/01/2020 16:40,0
2,11,0.0006,0.0004,100,518.67,14.62,21.61,1.3,47.21,522.2,2388.03,8135.85,8.4188,0.03,392,2388,100,39.23,23.3888,03/01/2020 16:50,0
2,12,0.0002,0.0006,100,518.67,14.62,21.61,1.3,47.13,,2387.97,8136.49,8.3925,0.03,392,2388,100,39.12,23.4201,03/01/2020 16:55,0
2,13,0.0007,0.0005,100,518.67,14.62,21.61,1.3,47.03,522.33,2387.99,8140.61,8.3742,0.03,391,2388,100,38.88,23.4317,03/01/2020 17:00,0
2,14,-0.0024,-0.0004,100,no connection,14.62,21.61,1.3,47.12,523.07,2387.98,8140.09,8.3887,0.03,391,2388,100,38.93,23.4074,03/01/2020 17:05,0
2,15,-0.0012,-0.0003,100,518.67,14.62,21.61,1.3,47.17,521.96,2388.02,8137.72,8.3704,0.03,393,2388,100,38.94,23.4311,03/01/2020 17:10,0
2,16,-0.001,0.0003,100,518.67,14.62,21.61,1.3,47.24,522.49,2387.95,8133.45,8.3805,0.03,392,2388,100,39.01,23.4462,03/01/2020 17:15,0
2,17,0.0003,-0.0001,100,518.67,14.62,21.61,1.3,47.13,522.71,2388.08,8134.78,8.3714,0.03,391,2388,100,39.04,23.5245,03/01/2020 17:20,0
2,18,0.0014,0.0001,100,518.67,14.62,21.61,1.3,47.22,522.92,2388,stop,8.4053,0.03,391,2388,100,39,23.4203,03/01/2020 17:25,0
